id|name|location|lat|lon|the_geom|image_available|video_available 
143|St Johns Rd Coles Park Rd Jn|Ulsoor|12.9891|77.61766|0101000020E61000000803CFBD876753407CF2B0506BFA2940|t|f
107|Navarang Theatre|Rajajinagar|12.99827|77.55318|0101000020E61000004833164D67635340E527D53E1DFF2940|t|f
102|Mekhri Circle|Near Palace Ground|13.01453|77.58428|0101000020E61000003EEDF0D7646553402C9FE57970072A40|t|f
111|Brigade Rd Residency Rd Jn|Shantinagar|12.97255|77.60763|0101000020E61000006284F068E36653401973D712F2F12940|t|f
146|Town Hall|Near Canara Bank|12.96444|77.58597|0101000020E6100000FA9B50888065534092E86514CBED2940|t|f
117|Rajarajeshwari Nagar Entrance|Mysore Road|12.93629|77.51869|0101000020E6100000C9B08A3732615340C824236761DF2940|t|f
112|Platform Road|Okalipuram|12.98248|77.57089|0101000020E610000043E7357689645340BBF2599E07F72940|t|f
72|K R Circle|Near SJ Polytechnic|12.9762|77.58273|0101000020E61000007A19C5724B655340DDB5847CD0F32940|t|f
132|State Bank of Mysore|Avenue Rd KG Rd Intersection|12.97337|77.58192|0101000020E6100000DA38622D3E655340A6D0798D5DF22940|t|f
79|Murphy Junction|Ulsoor|12.98202|77.62333|0101000020E6100000672783A3E46753402D095053CBF62940|t|f
27|Byappanahalli Railway Gate|Old Madras Road|12.98872|77.65147|0101000020E6100000CF143AAFB169534060CD018239FA2940|t|f
66|ISAC/ISRO|Airport Rd|12.95998|77.64956|0101000020E61000008B321B6492695340CFA0A17F82EB2940|t|f
